nominal_head_id,nominal_head_form,nominal_head_upos,nominal_head_deprel,head_number,head_frequency,dependent_frequency,modifier_to_head_ratio,dependent_id,dependent_form,dependent_upos,dependent_deprel,distance,position,num_nouns_before,num_adjs_before,num_adjs_after,np_depth,num_dependents_head,num_dependents_dependent,ezafe_label,relative_position_in_sent,np_deprel_pattern,source_file
3.0,and,PRON,obj,Sing,6,224,37.33327111121482,2.0,ēn,DET,det,1.0,2,0,0,1,1,1,0,0,0.09375,det,Col_RFS_TD2.conllu
4.0,farrahsrōš,PROPN,nsubj,Sing,2,0,0.0,6.0,wahrāmān,PROPN,nmod,2.0,1,0,0,1,2,1,1,1,0.125,nmod,Col_RFS_TD2.conllu
9.0,sāl,NOUN,obl,Sing,66,1,0.015151512855831386,11.0,sesadudhaftādhaft,NUM,nummod,2.0,1,2,0,1,2,3,1,1,0.28125,case nummod amod,Col_RFS_TD2.conllu
9.0,sāl,NOUN,obl,Sing,66,2,0.03030302571166277,13.0,pārsīg,ADJ,amod,4.0,1,2,0,1,2,3,1,1,0.28125,case nummod amod,Col_RFS_TD2.conllu
16.0,sāl,NOUN,obl,Sing,66,2,0.03030302571166277,17.0,wīst,NUM,nummod,1.0,1,3,1,0,6,4,0,0,0.5,advmod:tim case nummod nmod,Col_RFS_TD2.conllu
16.0,sāl,NOUN,obl,Sing,66,0,0.0,20.0,yazdgerd,PROPN,nmod,4.0,1,3,1,0,6,4,2,0,0.5,advmod:tim case nummod nmod,Col_RFS_TD2.conllu
19.0,bay,NOUN,nmod,Sing,5,58,11.5999768000464,18.0,ōy,DET,det,1.0,2,4,1,0,1,1,0,0,0.59375,det,Col_RFS_TD2.conllu
20.0,yazdgerd,PROPN,nmod,Sing,1,0,0.0,19.0,bay,NOUN,nmod,1.0,2,5,1,0,5,2,1,0,0.625,nmod appos,Col_RFS_TD2.conllu
20.0,yazdgerd,PROPN,nmod,Sing,1,0,0.0,23.0,šāh,NOUN,appos,3.0,1,5,1,0,5,2,3,1,0.625,nmod appos,Col_RFS_TD2.conllu
23.0,šāh,NOUN,appos,Sing,23,0,0.0,22.0,šāhān,NOUN,nmod,1.0,2,7,1,0,4,3,0,0,0.71875,det nmod conj,Col_RFS_TD2.conllu
24.0,nāfag,NOUN,conj,Sing,2,1,0.49999750001249993,27.0,husraw,PROPN,nmod,3.0,1,8,1,0,3,1,4,1,0.75,nmod,Col_RFS_TD2.conllu
27.0,husraw,PROPN,nmod,Sing,14,58,4.142854183675583,26.0,ōy,DET,det,1.0,2,9,1,0,2,4,0,0,0.84375,det det appos nmod,Col_RFS_TD2.conllu
27.0,husraw,PROPN,nmod,Sing,14,0,0.0,30.0,šāh,NOUN,appos,3.0,1,9,1,0,2,4,2,1,0.84375,det det appos nmod,Col_RFS_TD2.conllu
27.0,husraw,PROPN,nmod,Sing,14,0,0.0,32.0,ohrmazdān,PROPN,nmod,5.0,1,9,1,0,2,4,1,1,0.84375,det det appos nmod,Col_RFS_TD2.conllu
30.0,šāh,NOUN,appos,Sing,23,0,0.0,29.0,šāhān,NOUN,nmod,1.0,2,11,1,0,1,2,0,0,0.9375,det nmod,Col_RFS_TD2.conllu
2.0,ēn,PRON,obj,Sing,95,28,0.29473681108033567,1.0,čahār,NUM,nummod,1.0,2,0,0,1,3,3,0,0,0.1111111111111111,nummod dep amod,Col_RFS_TD2.conllu
2.0,ēn,PRON,obj,Sing,95,5,0.0526315734072028,4.0,azabarnibišt,ADJ,amod,2.0,1,0,0,1,3,3,1,0,0.1111111111111111,nummod dep amod,Col_RFS_TD2.conllu
6.0,spandyād,PROPN,nsubj,Sing,5,0,0.0,5.0,hērbed,NOUN,nmod,1.0,2,1,1,0,2,2,0,0,0.3333333333333333,nmod nmod,Col_RFS_TD2.conllu
6.0,spandyād,PROPN,nsubj,Sing,5,0,0.0,8.0,farroxburzēn,PROPN,nmod,2.0,1,1,1,0,2,2,1,1,0.3333333333333333,nmod nmod,Col_RFS_TD2.conllu
17.0,paččēn,NOUN,obl,Sing,12,314,26.16664486112928,18.0,ē,DET,det,1.0,1,6,1,0,1,2,0,0,0.9444444444444444,case det,Col_RFS_TD2.conllu
3.0,dar,NOUN,nmod,Sing,31,52,1.6774188137358665,2.0,čand,DET,det,1.0,2,1,0,1,1,1,0,0,0.15789473684210525,det,DD-K35.conllu
5.0,mihrxwaršēd,PROPN,nsubj,Sing,1,0,0.0,7.0,ādurmahān,PROPN,nmod,2.0,1,2,0,1,2,1,1,1,0.2631578947368421,nmod,DD-K35.conllu
10.0,mānuščihr,PROPN,obl,Sing,9,6,0.666665925926749,9.0,anōšagruwān,ADJ,amod,1.0,2,4,1,0,1,3,0,0,0.5263157894736842,case amod nmod,DD-K35.conllu
10.0,mānuščihr,PROPN,obl,Sing,9,0,0.0,11.0,ǰuwānǰamān,PROPN,nmod,1.0,1,4,1,0,1,3,0,0,0.5263157894736842,case amod nmod,DD-K35.conllu
