Actual,Predicted,Probability,distance,num_dependents_dependent,position_numeric,is_verbal,dependent_upos_ADJ,dependent_upos_ADV,dependent_upos_AUX,dependent_upos_CCONJ,dependent_upos_DET,dependent_upos_NOUN,dependent_upos_NUM,dependent_upos_PRON,dependent_upos_PROPN,dependent_upos_SCONJ,dependent_upos_VERB,dependent_upos_X_position_interaction,deprel_acl,deprel_acl:cleft,deprel_acl:relcl,deprel_advcl,deprel_advmod,deprel_advmod:emph,deprel_advmod:lmod,deprel_advmod:tmod,deprel_amod,deprel_appos,deprel_aux,deprel_ccomp,deprel_compound:lvc,deprel_compound:redup,deprel_conj,deprel_cop,deprel_csubj,deprel_det:poss,deprel_dislocated:res,deprel_dislocated:topic,deprel_flat,deprel_iobj,deprel_list,deprel_nmod,deprel_nmod:poss,deprel_nsubj,deprel_obj,deprel_obl,deprel_obl:lmod,deprel_obl:tmod,deprel_orphan,deprel_parataxis,deprel_vocative,deprel_xcomp
2,1,0.016429704613344833,2.5,1.0,-1.0,1,False,False,False,False,False,False,False,False,True,False,False,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.9362020754122182,4.5,4.0,-1.0,1,False,False,False,False,False,True,False,False,False,False,False,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.981312997963056,3.0,3.0,-1.0,1,False,False,False,False,False,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.31487827386066275,-0.5,1.0,0.0,1,False,False,False,False,False,False,False,True,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.8274921594029674,4.0,3.0,0.0,1,False,False,False,False,False,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.10604752359880741,0.0,1.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.017666782647739805,0.0,2.0,0.0,2,False,False,False,False,False,False,False,False,False,False,True,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0647664212603604,-0.5,1.0,0.0,1,False,False,False,False,True,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.826663855819921,0.5,0.0,-1.0,1,True,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.9572239546950625,0.0,2.0,-1.0,1,True,False,False,False,False,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
